Sector,Path,XLSXLinks,Sector_abv,Nombre,Nombre_abv,Code
sector-externo,sector-externo/ppf-externos-componente,['https://www.bch.hn/estadisticos/EME/Series%20pblicas/PII%20Pasivos-Componentes.xlsx'],ET00,PII Pasivos-Componentes,PIIP,ET00PIIP
sector-externo,sector-externo/deuda-externa-publica-total,['https://www.bch.hn/estadisticos/EME/Series%20pblicas/Deuda%20Externa%20p%C3%BAblica.xlsx'],ET00,Deuda Externa pública,DXTPUB,ET00DXTPUB
sector-externo,sector-externo/deuda-externa-total-sector,['https://www.bch.hn/estadisticos/EME/Series%20pblicas/Deuda%20Externa%20Total%20por%20Sector.xlsx'],ET00,Deuda Externa Total por Sector,DXTST,ET00DXTST
sector-externo,sector-externo/deuda-externa-total-tipo-deudor,['https://www.bch.hn/estadisticos/EME/Series%20pblicas/Deuda%20Externa%20Total%20por%20Tipo%20de%20Deudor.xlsx'],ET00,Deuda Externa Total por Tipo de Deudor,DXTDEU,ET00DXTDEU
sector-externo,sector-externo/deuda-externa-publica-tipo-deudor,['https://www.bch.hn/estadisticos/EME/Series%20pblicas/Deuda%20Externa%20P%C3%BAblica%20por%20Tipo%20de%20Deudor.xlsx'],ET00,Deuda Externa Pública por Tipo de Deudor,DXTDPUB,ET00DXTDPUB
sector-externo,sector-externo/deuda-externa-total-tipo-acreedor,['https://www.bch.hn/estadisticos/EME/Series%20pblicas/Deuda%20Externa%20Total%20por%20Tipo%20de%20Acreedor.xlsx'],ET00,Deuda Externa Total por Tipo de Acreedor,DXTACRE,ET00DXTACRE
sector-fiscal,sector-fiscal/financiamiento-externo-interno-ac-spnf,['https://www.bch.hn/estadisticos/EF/Series%20Pblicas/Financiamiento%20Externo%20e%20Interno%20AC%20y%20SPNF.xlsx'],FIS0,Financiamiento Externo e Interno AC y SPNF,FNXTNT12,FIS0FNXTNT12
sector-fiscal,sector-fiscal/financiamiento-externo-neto-ac-spnf,['https://www.bch.hn/estadisticos/EF/Series%20Pblicas/Financiamiento%20Externo%20AC%20y%20SPNF.xlsx'],FIS0,Financiamiento Externo AC y SPNF,FNXT12,FIS0FNXT12
sector-fiscal,sector-fiscal/financiamiento-interno-neto-ac-sector,['https://www.bch.hn/estadisticos/EF/Series%20Pblicas/Financiamiento%20Interno%20AC%20por%20Sector.xlsx'],FIS0,Financiamiento Interno AC por Sector,FNINT1,FIS0FNINT1
sector-fiscal,sector-fiscal/financiamiento-interno-neto-spnf-sector,['https://www.bch.hn/estadisticos/EF/Series%20Pblicas/Financiamiento%20Interno%20SPNF%20por%20Sector.xlsx'],FIS0,Financiamiento Interno SPNF por Sector,FNINT2,FIS0FNINT2
sector-fiscal,sector-fiscal/financiamiento-interno-neto-ac-spnf-instrumento,['https://www.bch.hn/estadisticos/EF/Series%20Pblicas/Financiamiento%20Interno%20AC%20y%20SPNF%20por%20Inst.xlsx'],FIS0,Financiamiento Interno AC y SPNF por Inst,FNINT12,FIS0FNINT12
sector-fiscal,sector-fiscal/posicion-financiera-ac-spnf,['https://www.bch.hn/estadisticos/EF/Series%20Pblicas/Posici%C3%B3n%20Financiera%20de%20la%20AC%20y%20SPNF.xlsx'],FIS0,Posición Financiera de la AC y SPNF,POSFIN12,FIS0POSFIN12
sector-fiscal,sector-fiscal/deuda-interna-ac-transaccion,['https://www.bch.hn/estadisticos/EF/Series%20Pblicas/Deuda%20Interna%20AC%20por%20Transacci%C3%B3n.xlsx'],FIS0,Deuda Interna AC por Transacción,DNT1TS,FIS0DNT1TS
sector-fiscal,sector-fiscal/deuda-interna-sp-instrumento,['https://www.bch.hn/estadisticos/EF/Series%20Pblicas/Deuda%20Interna%20del%20SP%20por%20Instrumento.xlsx'],FIS0,Deuda Interna del SP por Instrumento,DNTINST,FIS0DNTINST
sector-fiscal,sector-fiscal/deuda-interna-resto-spnf-tenedor,['https://www.bch.hn/estadisticos/EF/Series%20Pblicas/Deuda%20Interna%20del%20Resto%20del%20SPNF%20por%20Tenedor.xlsx'],FIS0,Deuda Interna del Resto del SPNF por Tenedor,DNT2TD,FIS0DNT2TD
sector-fiscal,sector-fiscal/servicio-deuda-interna-ac,['https://www.bch.hn/estadisticos/EF/Series%20Pblicas/Servicio%20de%20Deuda%20Interna%20AC.xlsx'],FIS0,Servicio de Deuda Interna AC,SERDUINT,FIS0SERDUINT
resultados-de-encuestas,resultados-de-encuestas/expectativas-inflacion,['https://www.bch.hn/estadisticos/GIE/Series%20pblicas/Expectativas%20de%20Inflaci%C3%B3n.xlsx'],ENC0,Expectativas de Inflación,EXPECIF,ENC0EXPECIF
